Title,URL,Grade,Price
"Marvel Tales #98 CGC Graded 7.5 ""The Night Gwen Stacy Died."" Marvel Comic Book",https://www.ebay.com/itm/226184521638?itmmeta=01J046A18D0YKF2CR10C71QHXV&hash=item34a9a5e7a6:g:MiMAAOSwehVlswOB&itmprp=enc%3AAQAJAAAA0EYfX34Ir3zZTxKnPD6qfxMsfjyhbZFt2VEZ%2FxADfSz0ixI6oe7SREnoThv9yLV1PIHQXdwjfeP5Sj4V51S2rl1ZhtmCZXQRw4GFyWgR1Wb5rO%2FHrD3IKcia%2FAD6KRBiG2Lu%2FXh5BU0kKNVvptlRvqn6dHMJgxfDj40Q%2FdGdHr9yl7VFaTP7zJsT7jbitOzCZSGUgAlOXLYI3YOGWIdFQO0P54KGpq304kR7jumutOTWJpF99CJ8a9tBhKRG2dob9CSYJvLjkPIjSYnzKgIc2vc%3D%7Ctkp%3ABk9SR6iUqIaBZA,CGC 7.5,$44.99
"Amazing Spiderman 121 ""Death Of Gwen Stacy"" 3.0 CGC Graded. Sealed In The Slab",https://www.ebay.com/itm/404916305089?itmmeta=01J046A18E65P01FDT957PA8F5&hash=item5e46e47cc1:g:yIQAAOSwvzdmFxWQ&itmprp=enc%3AAQAJAAAA0LdU406KlBs7AAwe%2FipkX%2FKd9lJBQS36uGJl2XW6TOFg8NcgHHx%2F5mmToY%2FhXKEZ%2FtFD6u5zc2257BVSEsh62t3futW1vK4vqqP1lBf5cbYv5tP%2F%2BMYsZgM2Wgym%2FzcnUAVPAJnqAWisrhEXBLtsea8TLvlEHFMxTLXM4TjdbAPzPlo%2FOlMKWch9MOi4rzuLw5Aru3qm2VYQq99jHuYZhBKb3RyhV6xJFKwIPG9gT3%2FLlmP8dmYzZKgUW8HnaIT30Lmyu%2F7hZJf7Nx8dTvKOFQo%3D%7Ctkp%3ABk9SR66UqIaBZA,CGC 3.0,$225.00
"Amazing Spider-Man 361, 1st Appearance Carnage, Newsstand Variant CGC Graded 9.6",https://www.ebay.com/itm/156250499558?itmmeta=01J046AXYC3KR5FD5QH73RB84D&hash=item24614169e6:g:FwoAAOSwa8RmEyWj&itmprp=enc%3AAQAJAAAAwHNo%2B%2FRTM9ajhHX2j%2B%2B006z9oGGBSSGjEq%2FCwaCjA4g7vq2ovnxGpRvjF%2BJm0r0qc7k4QRA2Mz08UZhjXjLPBXOzdP8piJPnuQOSxs3oariTT22MQK7zUzviDZcYNS41uOdIC1SoJehup8D%2FKNgzZJTK2FHvwii5IVQy8toDxlUEHmUApT9JXmMJd6O0xKF87xPBzEy1bKkxKnKpH1h5U%2F5zla1hHKX6%2FH1Wm5hT%2B988oiiFPB4yUdc0fLIDmr%2B%2Fng%3D%3D%7Ctkp%3ABk9SR6Lfq4aBZA,CGC 9.6,$160.00
Amazing Spider-Man Comic #31 CGC GRADED 5.0 Off White 1st Appearance Gwen Stacy!,https://www.ebay.com/itm/135094338516?itmmeta=01J046AXYD76EMJENQQT8MZ7QV&hash=item1f744003d4:g:UzYAAOSwNexmTVSD&itmprp=enc%3AAQAJAAAA4NSumlMsdNYZHfVmM8WsvWGaBoqokDCkLrU2Jpb%2FA3eJG3N34m%2F5JwPrUQkxFzniP0TpkeNnm75dOBk6%2Fnqq0JL21xP5VtdAmAIDmKBVYKBmKxMLVg%2FVZNEO%2BaEwEHk5loDAP5OnJaqU92qP6%2Fe575QcBX0KJS1DBhUuJoFFCiLXRWuli%2BNUu9bkdVB%2FxkCmyu2lMXln%2BH1FuwRFcLyLcNz8TUkh1x4Q%2BPjNfqqhcirWXAZt9IeDkLcg6vTZYSjCfl4f%2Fomj4Mu61ieU0tsylw%2Bq37N7z7uopSYiTq%2B%2BTCVv%7Ctkp%3ABk9SR6rfq4aBZA,CGC 5.0,$399.95
NEW LISTING1990 Marvel Universe Impel Graded - ALL PSA 9 GRADED - You pick,https://www.ebay.com/itm/305614014160?itmmeta=01J046AXYDB3CM8KPV5N5CVRVA&hash=item472803c6d0:g:-r0AAOSwFlNmaF05&itmprp=enc%3AAQAJAAAA4OnPN0kEJCG6KRVDmyO1jXBspzmf7mssj2CX1U0qDLueagDs6JXwxykNxwV9WmrvEuUm6ILGKa0ZTS2QoUqYYo%2Fh%2BFR3%2BSRUKGcMV2l2AjwseMrocdphlkQG5kwCDjUdf936YW%2Bh48owgwRaWtDhp%2F4k0u%2BI8uM6VxAgHBMckUbcOjAsbLHk3ruVcnkffCioVF%2BlZnALwOFr1pH2b7vHBtmAdnyCN8pmCLMktWS500H4afKRQkQXSsqZoORxMMMiEfa1%2FPG%2BblVwxTBEIVyY%2B9jQcaMBrTnRxbft6F8O0yPI%7Ctkp%3ABk9SR6rfq4aBZA,Grade not specified,$20.00 to $50.00
VENOM SEPARATION ANXIETY #1 RON LIM FOIL VARIANT COVER GRADED 9.8!,https://www.ebay.com/itm/156237593912?itmmeta=01J046BVTCW3BFGKGH810K6Q96&hash=item24607c7d38:g:BREAAOSw9vdmW6Uv&itmprp=enc%3AAQAJAAAA4FUSu8QGvYNYLkoYlUvrOFLPzrfNkvY1lSSAhAuqL7eJSt8A6SJ%2F2rBc5WMTPvzrZy5JZ6rukK3E9Y6TkFOfismHlwskcTgs8ZtV%2FkkcTiuskkilAlPWlmwraplWgg34u%2BrmdYWku%2FIwL5DcCSmG7iWhLsZfsNKtyTNG3gJj1%2BH%2BLdY0%2BhP9euhsAuUQhcu1zs%2BsE5JTgeWfZy07wy0zuKtqjZ%2BZqKwKG%2FqVEY0V5pYewB2iMhp2uXW0ccNFJA7xHx8C6FIhr%2BwIyy8y4Z%2F7ydrgz1O7yNguKM2rZ%2B5tB6ky%7Ctkp%3ABk9SR6S9r4aBZA,Grade not specified,$69.95
Venom #3 Stegman Graded CGC 9.8 2018 1st Full Appearance Of Knull Spider-man,https://www.ebay.com/itm/176289601003?itmmeta=01J046BVTDR0NBCV0VM6DBRBEG&hash=item290badd5eb:g:23cAAOSwZXdl9a1y&itmprp=enc%3AAQAJAAAA4P122cEiz5BSw7cVDEJyCRLF%2FK0CQin%2BfJrHcjBjfDdOmru9AEzTHo5HxsRGOBQfE5ZRn2VhTwy%2BZC%2B0q4yYVeGFhzow4NG6f2X4j83EsV%2F4ba8Lc9%2FmFMSGiUJWCFfN4INFIY%2BNl9ENKdiGNVDJNDZTrjywra%2BO9VSuTovs3e505Kj2bs7VvCySAqItHAyxit3FDThoaAfiOD2sstySx3zzy7%2FnD1ZAYByHpUzRDfCayN5wfdPQzjMw6G%2Bkn1uBUWu%2BiW0Uro2xtd8GaotilLLQXdHqkR0d%2B9RWe21AoyHB%7Ctkp%3ABFBMpL2vhoFk,CGC 9.8,$254.09
"Venom Graded Comic 4- Book bundle 3 signed 2 9.8, 2 9.6",https://www.ebay.com/itm/156249280160?itmmeta=01J046BVTD582V60C6TSK77XKJ&hash=item24612ecea0:g:PKYAAOSwbXpmZiJq&itmprp=enc%3AAQAJAAAA4InO%2Bb3g%2B%2BMZQd15i48oOHhiIgc0fCzFSyZnk6iBfUDOFKW5mHzRyoOtmEKsWSYsGgRoagM1scqlfvVXUsg7FSvtntKn1%2BVdydNBcEOQp2sIPgz76mpAD8ExxVyU9lklEEDDzMzDiBlqdaPmXu4Gtt5kzSKMFwc4EZSO3ejQPYCGjc6e6JMFjhwcMKNQcykST2Dxe1m1LeOXPE0sKLT7E0Yvs%2BCVSkwzwbljTDW2BN8KjKGqp9KYkCtYQa70zNKBsLKzRVPt5QYk2OhcvqVeEL%2BOX2UR3xRlvAJs1YN35Nxr%7Ctkp%3ABFBMpL2vhoFk,Grade not specified,$300.00
Venom: Lethal Protector # 1 (2/93) CGC Graded Comic Book 9.6 NM+ WP,https://www.ebay.com/itm/305429102664?itmmeta=01J046BVTDBEXYPB315R96JVFT&hash=item471cfe4048:g:UE8AAOSwUn9l45xB&itmprp=enc%3AAQAJAAAAwNKtC0mUOwqK6bm5lxYWzNHUBa8uKgS9U8PdZPE6gyY1WbE4Rk3HgoWhtziWWFC9CdKN161JRFcgO0%2BktWSwnYG5tUNxVnXmKQZkMuEdg1NMueFIG86yKDY%2Fp2dg8fIS7fNElOBI8HpnQXWrb3JEOBt9c1hBhG%2FVZpmiSvH%2BolyPVSZEP%2FPIomQsfBldGxBsbgVnysoHAJYbA9MUZs39IULNKrGIzboagRYwBveNSPnGrenez4Z%2BNGxa0hSyZd5DUQ%3D%3D%7Ctkp%3ABk9SR6a9r4aBZA,NM 9.6,$83.48
Tom Hardy Todd McFarlane Signed Venom #1 Comic Book CGC Graded 9.8,https://www.ebay.com/itm/204821893245?itmmeta=01J046BVTDP3MAN7YM1Q0BHQK8&hash=item2fb056107d:g:dT8AAOSweI1mY0lC&itmprp=enc%3AAQAJAAAA4ORhbuurhgm9cMiP9tTClnjXDZ3A652TwsjlbhkbPdGZE8WJ4IQWhQ%2BejO87bbCnq5mhS9NQiDxvh6JBZyj%2FE499Az1QrY30cZ4DODjfH3duXm355dv3hr2x%2B1WLnWZehw2NwlASonV8G1iapZc2%2BG9BwozJHcQvAR4RKLO%2FHE5tFB6aSEUfanfWZTQzGqjZmR1IBqyyfFPIPmb7y%2FIWVM9GIljBGEd6eF5rpH1rvcDplVV1qCX2Y%2FVt5FtZSi%2BDrOnf963Qo%2FAoPN6o%2BchFoHlxh54MBjEMMa4BlJUk%2FF7D%7Ctkp%3ABk9SR6a9r4aBZA,CGC 9.8,$199.99
